tree build time (micros),ds type,ds query type,ds query begin,ds query end,hrd,ds query time (micros),dataset id,begin,end,bins,API Fetch Time(micros),Post Processing Time(micros),query
2859351,ESEMAN_TWOD,ds_window,-88540582504,177707185940,1,192808,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,-88540582504,177707185940,11016,3,769107,window
2859351,ESEMAN_TWOD,ds_window,-88540582504,177707185940,1,2834,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,-88540582504,177707185940,11016,run_on_completed_on_new_thread,386085,window_cond
2859351,ESEMAN_TWOD,ds_window,-88540582504,177707185940,1,291201,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,-88540582504,177707185940,11016,3,737930,window
2859351,ESEMAN_TWOD,ds_window,-88540582504,177707185940,1,5392,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,-88540582504,177707185940,11016,run_on_completed_on_new_thread,292714,window_cond
2859351,ESEMAN_TWOD,ds_window,-88540582504,177707185940,1,201514,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,-88540582504,177707185940,11016,3,618713,window
2859351,ESEMAN_TWOD,ds_window,-88540582504,177707185940,1,8040,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,-88540582504,177707185940,11016,run_on_completed_on_new_thread,435313,window_cond
2859351,ESEMAN_TWOD,ds_window,58722516174,104075636601,1,146113,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,58722516174,104075636601,11017,3,586724,window
2859351,ESEMAN_TWOD,ds_window,58722516174,104075636601,1,7386,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,58722516174,104075636601,11017,run_on_completed_on_new_thread,843372,window_cond
2859351,ESEMAN_TWOD,ds_window,70268725904,80983217141,1,75788,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,70268725904,80983217141,11077,5,540681,window
2859351,ESEMAN_TWOD,ds_window,70268725904,80983217141,1,2873,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,70268725904,80983217141,11077,run_on_completed_on_new_thread,488083,window_cond
2859351,ESEMAN_TWOD,ds_window,61364445520,85435357333,1,90782,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,61364445520,85435357333,11076,3,559646,window
2859351,ESEMAN_TWOD,ds_window,61364445520,85435357333,1,10733,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,61364445520,85435357333,11076,run_on_completed_on_new_thread,735173,window_cond
2859351,ESEMAN_TWOD,ds_window,63174656367,81814935639,1,66933,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,63174656367,81814935639,11077,5,530748,window
2859351,ESEMAN_TWOD,ds_window,63174656367,81814935639,1,3367,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,63174656367,81814935639,11077,run_on_completed_on_new_thread,605073,window_cond
2859351,ESEMAN_TWOD,ds_window,72078936751,77362795447,1,35464,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,72078936751,77362795447,11077,4,489889,window
2859351,ESEMAN_TWOD,ds_window,72078936751,77362795447,1,1545,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,72078936751,77362795447,11077,run_on_completed_on_new_thread,276516,window_cond
2859351,ESEMAN_TWOD,ds_window,70268725904,80983217141,1,44603,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,70268725904,80983217141,11077,4,512057,window
2859351,ESEMAN_TWOD,ds_window,70268725904,80983217141,1,2738,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,70268725904,80983217141,11077,run_on_completed_on_new_thread,461813,window_cond
2859351,ESEMAN_TWOD,ds_window,48937592674,91648783756,1,145553,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,48937592674,91648783756,11076,3,577704,window
2859351,ESEMAN_TWOD,ds_window,48937592674,91648783756,1,22890,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,48937592674,91648783756,11076,run_on_completed_on_new_thread,932687,window_cond
2859351,ESEMAN_TWOD,ds_window,56961229944,75601509216,1,66469,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,56961229944,75601509216,11076,4,527700,window
2859351,ESEMAN_TWOD,ds_window,56961229944,75601509216,1,3651,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,56961229944,75601509216,11076,run_on_completed_on_new_thread,622562,window_cond
2859351,ESEMAN_TWOD,ds_window,67577871945,73008504486,1,35655,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,67577871945,73008504486,11076,5,493880,window
2859351,ESEMAN_TWOD,ds_window,67577871945,73008504486,1,1211,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,67577871945,73008504486,11076,run_on_completed_on_new_thread,289550,window_cond
2859351,ESEMAN_TWOD,ds_window,58722516177,90719216022,1,91542,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,58722516177,90719216022,11076,4,546080,window
2859351,ESEMAN_TWOD,ds_window,58722516177,90719216022,1,10609,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,58722516177,90719216022,11076,run_on_completed_on_new_thread,862808,window_cond
2859351,ESEMAN_TWOD,ds_window,49916085025,95122431598,1,128325,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,49916085025,95122431598,11077,6,579016,window
2859351,ESEMAN_TWOD,ds_window,49916085025,95122431598,1,19919,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,49916085025,95122431598,11077,run_on_completed_on_new_thread,949295,window_cond
2859351,ESEMAN_TWOD,ds_window,57010154563,80934292522,1,74792,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,57010154563,80934292522,11076,4,537037,window
2859351,ESEMAN_TWOD,ds_window,57010154563,80934292522,1,5513,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,57010154563,80934292522,11076,run_on_completed_on_new_thread,679526,window_cond
2859351,ESEMAN_TWOD,ds_window,65865510331,87147718945,1,72850,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,65865510331,87147718945,11076,3,537407,window
2859351,ESEMAN_TWOD,ds_window,65865510331,87147718945,1,4138,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,65865510331,87147718945,11076,run_on_completed_on_new_thread,690453,window_cond
2859351,ESEMAN_TWOD,ds_window,61413370138,96051999331,1,82076,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,61413370138,96051999331,11076,3,545194,window
2859351,ESEMAN_TWOD,ds_window,61413370138,96051999331,1,22262,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,61413370138,96051999331,11076,run_on_completed_on_new_thread,868123,window_cond
2859351,ESEMAN_TWOD,ds_window,33037091986,110240138407,1,202577,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,33037091986,110240138407,11076,4,614138,window
2859351,ESEMAN_TWOD,ds_window,33037091986,110240138407,1,23833,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,33037091986,110240138407,11076,run_on_completed_on_new_thread,945989,window_cond
2859351,ESEMAN_TWOD,ds_window,51677371254,72959579871,1,70130,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,51677371254,72959579871,11077,6,529622,window
2859351,ESEMAN_TWOD,ds_window,51677371254,72959579871,1,12151,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,51677371254,72959579871,11077,run_on_completed_on_new_thread,663844,window_cond
2859351,ESEMAN_TWOD,ds_window,60532727025,76531076946,1,67761,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,60532727025,76531076946,11076,4,532930,window
2859351,ESEMAN_TWOD,ds_window,60532727025,76531076946,1,3155,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,60532727025,76531076946,11076,run_on_completed_on_new_thread,575710,window_cond
2859351,ESEMAN_TWOD,ds_window,55199943717,87196643562,1,93195,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,55199943717,87196643562,11077,3,560587,window
2859351,ESEMAN_TWOD,ds_window,55199943717,87196643562,1,20164,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,55199943717,87196643562,11077,run_on_completed_on_new_thread,812305,window_cond
2859351,ESEMAN_TWOD,ds_window,42773090869,93410069986,1,182020,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,42773090869,93410069986,11076,4,600734,window
2859351,ESEMAN_TWOD,ds_window,42773090869,93410069986,1,14438,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,42773090869,93410069986,11076,run_on_completed_on_new_thread,946863,window_cond
2859351,ESEMAN_TWOD,ds_window,55199943714,68556364296,1,50345,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,55199943714,68556364296,11076,3,510179,window
2859351,ESEMAN_TWOD,ds_window,55199943714,68556364296,1,2419,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,55199943714,68556364296,11076,run_on_completed_on_new_thread,486189,window_cond
Initial serve memory: 1989.41 MB
Post serve memory: 2374.91 MB
Post data serve memory: 3321.46 MB
