tree build time (micros),ds type,ds query type,ds query begin,ds query end,hrd,ds query time (micros),dataset id,begin,end,bins,API Fetch Time(micros),Post Processing Time(micros),query
1039961,ESEMAN_TWOD,ds_window,-88540582504,177707185940,1,63578674,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,-88540582504,177707185940,11016,2,63933675,window
1039961,ESEMAN_TWOD,ds_window,-88540582504,177707185940,1,4553927,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,-88540582504,177707185940,11016,3,5030200,window
1039961,ESEMAN_TWOD,ds_window,-88540582504,177707185940,1,2992704,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,-88540582504,177707185940,11016,4,3405426,window
1039961,ESEMAN_TWOD,ds_window,58722516174,104075636601,1,351939,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,58722516174,104075636601,11017,4,889916,window
1039961,ESEMAN_TWOD,ds_window,70268725904,80983217141,1,75855,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,70268725904,80983217141,11077,5,542850,window
1039961,ESEMAN_TWOD,ds_window,61364445520,85435357333,1,105135,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,61364445520,85435357333,11076,4,564182,window
1039961,ESEMAN_TWOD,ds_window,63174656367,81814935639,1,64597,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,63174656367,81814935639,11077,4,528034,window
1039961,ESEMAN_TWOD,ds_window,72078936751,77362795447,1,39737,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,72078936751,77362795447,11077,4,496778,window
1039961,ESEMAN_TWOD,ds_window,70268725904,80983217141,1,46985,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,70268725904,80983217141,11077,5,501614,window
1039961,ESEMAN_TWOD,ds_window,48937592674,91648783756,1,227989,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,48937592674,91648783756,11076,4,629362,window
1039961,ESEMAN_TWOD,ds_window,56961229944,75601509216,1,71569,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,56961229944,75601509216,11076,3,528963,window
1039961,ESEMAN_TWOD,ds_window,67577871945,73008504486,1,32873,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,67577871945,73008504486,11076,4,491923,window
1039961,ESEMAN_TWOD,ds_window,58722516177,90719216022,1,100795,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,58722516177,90719216022,11076,4,549094,window
1039961,ESEMAN_TWOD,ds_window,49916085025,95122431598,1,125299,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,49916085025,95122431598,11077,3,570074,window
1039961,ESEMAN_TWOD,ds_window,57010154563,80934292522,1,75413,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,57010154563,80934292522,11076,6,579370,window
1039961,ESEMAN_TWOD,ds_window,65865510331,87147718945,1,69243,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,65865510331,87147718945,11076,5,531041,window
1039961,ESEMAN_TWOD,ds_window,61413370138,96051999331,1,81915,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,61413370138,96051999331,11076,6,545163,window
1039961,ESEMAN_TWOD,ds_window,33037091986,110240138407,1,299962,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,33037091986,110240138407,11076,4,774921,window
1039961,ESEMAN_TWOD,ds_window,51677371254,72959579871,1,72903,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,51677371254,72959579871,11077,5,531059,window
1039961,ESEMAN_TWOD,ds_window,60532727025,76531076946,1,52048,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,60532727025,76531076946,11076,5,506880,window
1039961,ESEMAN_TWOD,ds_window,55199943717,87196643562,1,96546,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,55199943717,87196643562,11077,3,560337,window
1039961,ESEMAN_TWOD,ds_window,42773090869,93410069986,1,175492,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,42773090869,93410069986,11076,5,583996,window
1039961,ESEMAN_TWOD,ds_window,55199943714,68556364296,1,46753,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,55199943714,68556364296,11076,5,496689,window
Initial serve memory: 1989.41 MB
Post serve memory: 2375.75 MB
Post data serve memory: 3226.51 MB
