tree build time (micros),ds type,ds query type,ds query begin,ds query end,hrd,ds query time (micros),dataset id,begin,end,bins,API Fetch Time(micros),Post Processing Time(micros),query
2153022,ESEMAN,ds_window,-88540582504,177707185940,1,114822,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,-88540582504,177707185940,11016,3,717607,window
2153022,ESEMAN,ds_window,-88540582504,177707185940,1,117761,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,-88540582504,177707185940,11016,2,418315,window
2153022,ESEMAN,ds_window,-88540582504,177707185940,1,84700,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,-88540582504,177707185940,11016,4,531923,window
2153022,ESEMAN,ds_window,58722516174,104075636601,1,306332,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,58722516174,104075636601,11017,3,801585,window
2153022,ESEMAN,ds_window,70268725904,80983217141,1,57066,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,70268725904,80983217141,11077,5,534649,window
2153022,ESEMAN,ds_window,61364445520,85435357333,1,65696,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,61364445520,85435357333,11076,6,538884,window
2153022,ESEMAN,ds_window,63174656367,81814935639,1,37238,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,63174656367,81814935639,11077,5,500042,window
2153022,ESEMAN,ds_window,72078936751,77362795447,1,22005,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,72078936751,77362795447,11077,5,483739,window
2153022,ESEMAN,ds_window,70268725904,80983217141,1,25110,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,70268725904,80983217141,11077,5,486215,window
2153022,ESEMAN,ds_window,48937592674,91648783756,1,140430,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,48937592674,91648783756,11076,4,572648,window
2153022,ESEMAN,ds_window,56961229944,75601509216,1,38810,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,56961229944,75601509216,11076,4,508887,window
2153022,ESEMAN,ds_window,67577871945,73008504486,1,21421,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,67577871945,73008504486,11076,4,473772,window
2153022,ESEMAN,ds_window,58722516177,90719216022,1,45519,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,58722516177,90719216022,11076,5,503514,window
2153022,ESEMAN,ds_window,49916085025,95122431598,1,58400,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,49916085025,95122431598,11077,3,521974,window
2153022,ESEMAN,ds_window,57010154563,80934292522,1,34664,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,57010154563,80934292522,11076,4,558687,window
2153022,ESEMAN,ds_window,65865510331,87147718945,1,36884,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,65865510331,87147718945,11076,2,509418,window
2153022,ESEMAN,ds_window,61413370138,96051999331,1,45967,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,61413370138,96051999331,11076,4,510870,window
2153022,ESEMAN,ds_window,33037091986,110240138407,1,222585,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,33037091986,110240138407,11076,5,626349,window
2153022,ESEMAN,ds_window,51677371254,72959579871,1,46536,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,51677371254,72959579871,11077,6,503098,window
2153022,ESEMAN,ds_window,60532727025,76531076946,1,25071,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,60532727025,76531076946,11076,4,484118,window
2153022,ESEMAN,ds_window,55199943717,87196643562,1,53286,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,55199943717,87196643562,11077,6,514012,window
2153022,ESEMAN,ds_window,42773090869,93410069986,1,63807,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,42773090869,93410069986,11076,4,541380,window
2153022,ESEMAN,ds_window,55199943714,68556364296,1,36591,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,55199943714,68556364296,11076,4,486495,window
Initial serve memory: 1989.41 MB
Post serve memory: 2374.52 MB
Post data serve memory: 3098.8 MB
