tree build time (micros),ds type,ds query type,ds query begin,ds query end,hrd,ds query time (micros),dataset id,begin,end,bins,API Fetch Time(micros),Post Processing Time(micros),query
322328,AGC,ds_window,-1305029698,2753780939,1,4216,faf17535-2f66-4621-995f-49c7dbd84e8b,47907181,None,4101,80,11524143,attribute
322328,AGC,ds_window,-1305029698,2753780939,1,2527,faf17535-2f66-4621-995f-49c7dbd84e8b,-1305029698,2753780939,11076,4,168927,window
322328,AGC,ds_window,-1305029698,2753780939,1,319,faf17535-2f66-4621-995f-49c7dbd84e8b,-1305029698,2753780939,11076,/phylanx$0/__add$0/1$45$8,96561,window_cond
322328,AGC,ds_window,-1305029698,2753780939,1,362,faf17535-2f66-4621-995f-49c7dbd84e8b,-1305029698,2753780939,11076,6,46542,window
322328,AGC,ds_window,939920690,1631305745,1,703,faf17535-2f66-4621-995f-49c7dbd84e8b,-1305029698,2753780939,11076,/phylanx$0/__add$0/1$45$8,40607,window_cond
322328,AGC,ds_window,939920690,1631305745,1,366,faf17535-2f66-4621-995f-49c7dbd84e8b,939920690,1631305745,11077,3,51272,window
322328,AGC,ds_window,1115936733,1279273659,1,650,faf17535-2f66-4621-995f-49c7dbd84e8b,939920690,1631305745,11077,/phylanx$0/__add$0/1$45$8,39519,window_cond
322328,AGC,ds_window,1115936733,1279273659,1,259,faf17535-2f66-4621-995f-49c7dbd84e8b,1115936733,1279273659,11076,5,56094,window
322328,AGC,ds_window,980195547,1347144252,1,776,faf17535-2f66-4621-995f-49c7dbd84e8b,1115936733,1279273659,11076,/phylanx$0/__add$0/1$45$8,43101,window_cond
322328,AGC,ds_window,980195547,1347144252,1,343,faf17535-2f66-4621-995f-49c7dbd84e8b,980195547,1347144252,11076,4,55477,window
322328,AGC,ds_window,1007791283,1291952780,1,701,faf17535-2f66-4621-995f-49c7dbd84e8b,980195547,1347144252,11076,/phylanx$0/__add$0/1$45$8,42704,window_cond
322328,AGC,ds_window,1007791283,1291952780,1,308,faf17535-2f66-4621-995f-49c7dbd84e8b,1007791283,1291952780,11077,4,56512,window
322328,AGC,ds_window,1143532469,1224082187,1,432,faf17535-2f66-4621-995f-49c7dbd84e8b,1007791283,1291952780,11077,/phylanx$0/__add$0/1$45$8,43708,window_cond
322328,AGC,ds_window,1143532469,1224082187,1,181,faf17535-2f66-4621-995f-49c7dbd84e8b,1143532469,1224082187,11077,4,58650,window
322328,AGC,ds_window,1115936733,1279273659,1,637,faf17535-2f66-4621-995f-49c7dbd84e8b,1143532469,1224082187,11077,/phylanx$0/__add$0/1$45$8,39790,window_cond
322328,AGC,ds_window,1115936733,1279273659,1,276,faf17535-2f66-4621-995f-49c7dbd84e8b,1115936733,1279273659,11076,4,49940,window
322328,AGC,ds_window,790754551,1441864750,1,678,faf17535-2f66-4621-995f-49c7dbd84e8b,1115936733,1279273659,11076,/phylanx$0/__add$0/1$45$8,43212,window_cond
322328,AGC,ds_window,790754551,1441864750,1,364,faf17535-2f66-4621-995f-49c7dbd84e8b,790754551,1441864750,11077,5,49872,window
322328,AGC,ds_window,913070785,1197232282,1,536,faf17535-2f66-4621-995f-49c7dbd84e8b,790754551,1441864750,11077,/phylanx$0/__add$0/1$45$8,43564,window_cond
322328,AGC,ds_window,913070785,1197232282,1,210,faf17535-2f66-4621-995f-49c7dbd84e8b,913070785,1197232282,11076,4,56211,window
322328,AGC,ds_window,1074916047,1157703255,1,549,faf17535-2f66-4621-995f-49c7dbd84e8b,913070785,1197232282,11076,/phylanx$0/__add$0/1$45$8,42715,window_cond
322328,AGC,ds_window,1074916047,1157703255,1,177,faf17535-2f66-4621-995f-49c7dbd84e8b,1074916047,1157703255,11076,4,56962,window
322328,AGC,ds_window,939920692,1427693965,1,790,faf17535-2f66-4621-995f-49c7dbd84e8b,1074916047,1157703255,11076,/phylanx$0/__add$0/1$45$8,41881,window_cond
322328,AGC,ds_window,939920692,1427693965,1,363,faf17535-2f66-4621-995f-49c7dbd84e8b,939920692,1427693965,11076,4,56626,window
322328,AGC,ds_window,805671164,1494818729,1,701,faf17535-2f66-4621-995f-49c7dbd84e8b,939920692,1427693965,11076,/phylanx$0/__add$0/1$45$8,42705,window_cond
322328,AGC,ds_window,805671164,1494818729,1,353,faf17535-2f66-4621-995f-49c7dbd84e8b,805671164,1494818729,11076,5,55699,window
322328,AGC,ds_window,913816614,1278527829,1,648,faf17535-2f66-4621-995f-49c7dbd84e8b,805671164,1494818729,11076,/phylanx$0/__add$0/1$45$8,42945,window_cond
322328,AGC,ds_window,913816614,1278527829,1,294,faf17535-2f66-4621-995f-49c7dbd84e8b,913816614,1278527829,11076,4,56692,window
322328,AGC,ds_window,1048811974,1373248324,1,841,faf17535-2f66-4621-995f-49c7dbd84e8b,913816614,1278527829,11076,/phylanx$0/__add$0/1$45$8,42129,window_cond
322328,AGC,ds_window,1048811974,1373248324,1,351,faf17535-2f66-4621-995f-49c7dbd84e8b,1048811974,1373248324,11076,5,57509,window
322328,AGC,ds_window,980941381,1508989510,1,773,faf17535-2f66-4621-995f-49c7dbd84e8b,1048811974,1373248324,11076,/phylanx$0/__add$0/1$45$8,41514,window_cond
322328,AGC,ds_window,980941381,1508989510,1,373,faf17535-2f66-4621-995f-49c7dbd84e8b,980941381,1508989510,11077,4,61176,window
322328,AGC,ds_window,548359575,1725280413,1,793,faf17535-2f66-4621-995f-49c7dbd84e8b,980941381,1508989510,11077,/phylanx$0/__add$0/1$45$8,39648,window_cond
322328,AGC,ds_window,548359575,1725280413,1,352,faf17535-2f66-4621-995f-49c7dbd84e8b,548359575,1725280413,11077,6,57711,window
322328,AGC,ds_window,832521069,1156957425,1,436,faf17535-2f66-4621-995f-49c7dbd84e8b,548359575,1725280413,11077,/phylanx$0/__add$0/1$45$8,40439,window_cond
