tree build time (micros),ds type,ds query type,ds query begin,ds query end,hrd,ds query time (micros),dataset id,begin,end,bins,API Fetch Time(micros),Post Processing Time(micros),query
325448,AGC,ds_window,-1305029698,2753780939,1,472,faf17535-2f66-4621-995f-49c7dbd84e8b,47907181,None,4101,67,11482282,attribute
325448,AGC,ds_window,-1305029698,2753780939,1,428,faf17535-2f66-4621-995f-49c7dbd84e8b,-1305029698,2753780939,11076,5,229670,window
325448,AGC,ds_window,939920690,1631305745,1,741,faf17535-2f66-4621-995f-49c7dbd84e8b,-1305029698,2753780939,11076,6,53671,window
325448,AGC,ds_window,1115936733,1279273659,1,823,faf17535-2f66-4621-995f-49c7dbd84e8b,939920690,1631305745,11077,4,56214,window
325448,AGC,ds_window,980195547,1347144252,1,777,faf17535-2f66-4621-995f-49c7dbd84e8b,1115936733,1279273659,11076,5,51719,window
325448,AGC,ds_window,1007791283,1291952780,1,659,faf17535-2f66-4621-995f-49c7dbd84e8b,980195547,1347144252,11076,6,55593,window
325448,AGC,ds_window,1143532469,1224082187,1,443,faf17535-2f66-4621-995f-49c7dbd84e8b,1007791283,1291952780,11077,5,50632,window
325448,AGC,ds_window,1115936733,1279273659,1,628,faf17535-2f66-4621-995f-49c7dbd84e8b,1143532469,1224082187,11077,5,53310,window
325448,AGC,ds_window,790754551,1441864750,1,717,faf17535-2f66-4621-995f-49c7dbd84e8b,1115936733,1279273659,11076,5,55568,window
325448,AGC,ds_window,913070785,1197232282,1,664,faf17535-2f66-4621-995f-49c7dbd84e8b,790754551,1441864750,11077,5,52215,window
325448,AGC,ds_window,1074916047,1157703255,1,425,faf17535-2f66-4621-995f-49c7dbd84e8b,913070785,1197232282,11076,7,60135,window
325448,AGC,ds_window,939920692,1427693965,1,740,faf17535-2f66-4621-995f-49c7dbd84e8b,1074916047,1157703255,11076,5,57998,window
325448,AGC,ds_window,805671164,1494818729,1,963,faf17535-2f66-4621-995f-49c7dbd84e8b,939920692,1427693965,11076,4,54646,window
325448,AGC,ds_window,913816614,1278527829,1,648,faf17535-2f66-4621-995f-49c7dbd84e8b,805671164,1494818729,11076,6,62994,window
325448,AGC,ds_window,1048811974,1373248324,1,825,faf17535-2f66-4621-995f-49c7dbd84e8b,913816614,1278527829,11076,4,57597,window
325448,AGC,ds_window,980941381,1508989510,1,790,faf17535-2f66-4621-995f-49c7dbd84e8b,1048811974,1373248324,11076,4,52935,window
325448,AGC,ds_window,548359575,1725280413,1,836,faf17535-2f66-4621-995f-49c7dbd84e8b,980941381,1508989510,11077,4,56906,window
325448,AGC,ds_window,832521069,1156957425,1,434,faf17535-2f66-4621-995f-49c7dbd84e8b,548359575,1725280413,11077,8,57612,window
325448,AGC,ds_window,967516427,1211403065,1,579,faf17535-2f66-4621-995f-49c7dbd84e8b,832521069,1156957425,11077,5,50301,window
325448,AGC,ds_window,886220882,1373994155,1,747,faf17535-2f66-4621-995f-49c7dbd84e8b,967516427,1211403065,11077,3,56514,window
325448,AGC,ds_window,696779884,1468714654,1,1261,faf17535-2f66-4621-995f-49c7dbd84e8b,886220882,1373994155,11076,4,54655,window
325448,AGC,ds_window,886220880,1089832662,1,259,faf17535-2f66-4621-995f-49c7dbd84e8b,696779884,1468714654,11077,4,58864,window
,faf17535-2f66-4621-995f-49c7dbd84e8b,886220880,1089832662,11076,5,58626,window
Initial serve memory: 639.609 MB
Post serve memory: 1007.21 MB
Post data serve memory: 170.664 MB
