dataset id,begin,end,bins,API Fetch Time(micros),Post Processing Time(micros),query
faf17535-2f66-4621-995f-49c7dbd84e8b,-1305029698,2753780939,4176,5,164983,window
faf17535-2f66-4621-995f-49c7dbd84e8b,-1305029698,2753780939,4176,/phylanx$0/__add$0/1$45$8,98219,window_cond
faf17535-2f66-4621-995f-49c7dbd84e8b,-1305029698,2753780939,4236,3,150534,window
faf17535-2f66-4621-995f-49c7dbd84e8b,-1305029698,2753780939,4236,/phylanx$0/__add$0/1$45$8,97981,window_cond
faf17535-2f66-4621-995f-49c7dbd84e8b,939159368,1631686406,4236,4,167179,window
faf17535-2f66-4621-995f-49c7dbd84e8b,939159368,1631686406,4236,/phylanx$0/__add$0/1$45$8,98443,window_cond
faf17535-2f66-4621-995f-49c7dbd84e8b,1115803945,1278397252,4236,4,156445,window
faf17535-2f66-4621-995f-49c7dbd84e8b,1115803945,1278397252,4236,/phylanx$0/__add$0/1$45$8,90007,window_cond
faf17535-2f66-4621-995f-49c7dbd84e8b,979305861,1346646294,4236,4,163160,window
faf17535-2f66-4621-995f-49c7dbd84e8b,979305861,1346646294,4236,/phylanx$0/__add$0/1$45$8,100598,window_cond
faf17535-2f66-4621-995f-49c7dbd84e8b,1007408408,1290441200,4236,4,159705,window
faf17535-2f66-4621-995f-49c7dbd84e8b,1007408408,1290441200,4236,/phylanx$0/__add$0/1$45$8,94477,window_cond
faf17535-2f66-4621-995f-49c7dbd84e8b,1143906492,1222192158,4237,4,147911,window
faf17535-2f66-4621-995f-49c7dbd84e8b,1143906492,1222192158,4237,/phylanx$0/__add$0/1$45$8,84680,window_cond
faf17535-2f66-4621-995f-49c7dbd84e8b,1115803945,1278397252,4236,4,156570,window
faf17535-2f66-4621-995f-49c7dbd84e8b,1115803945,1278397252,4236,/phylanx$0/__add$0/1$45$8,93881,window_cond
faf17535-2f66-4621-995f-49c7dbd84e8b,790617335,1440990557,4236,4,163230,window
faf17535-2f66-4621-995f-49c7dbd84e8b,790617335,1440990557,4236,/phylanx$0/__add$0/1$45$8,100390,window_cond
faf17535-2f66-4621-995f-49c7dbd84e8b,913064145,1196096937,4236,3,147556,window
faf17535-2f66-4621-995f-49c7dbd84e8b,913064145,1196096937,4236,/phylanx$0/__add$0/1$45$8,89915,window_cond
faf17535-2f66-4621-995f-49c7dbd84e8b,1073650126,1157957767,4237,3,148085,window
faf17535-2f66-4621-995f-49c7dbd84e8b,1073650126,1157957767,4237,/phylanx$0/__add$0/1$45$8,89151,window_cond
faf17535-2f66-4621-995f-49c7dbd84e8b,939159368,1426939283,4237,4,164262,window
faf17535-2f66-4621-995f-49c7dbd84e8b,939159368,1426939283,4237,/phylanx$0/__add$0/1$45$8,100381,window_cond
faf17535-2f66-4621-995f-49c7dbd84e8b,806675934,1493181000,4236,4,163278,window
faf17535-2f66-4621-995f-49c7dbd84e8b,806675934,1493181000,4236,/phylanx$0/__add$0/1$45$8,102038,window_cond
faf17535-2f66-4621-995f-49c7dbd84e8b,915071471,1276389926,4237,4,156284,window
faf17535-2f66-4621-995f-49c7dbd84e8b,915071471,1276389926,4237,/phylanx$0/__add$0/1$45$8,93333,window_cond
faf17535-2f66-4621-995f-49c7dbd84e8b,1047554904,1372741515,4236,3,166279,window
faf17535-2f66-4621-995f-49c7dbd84e8b,1047554904,1372741515,4236,/phylanx$0/__add$0/1$45$8,97617,window_cond
faf17535-2f66-4621-995f-49c7dbd84e8b,979305863,1509239597,4236,4,166849,window
faf17535-2f66-4621-995f-49c7dbd84e8b,979305863,1509239597,4236,/phylanx$0/__add$0/1$45$8,100231,window_cond
faf17535-2f66-4621-995f-49c7dbd84e8b,545723717,1726030670,4236,4,156465,window
faf17535-2f66-4621-995f-49c7dbd84e8b,545723717,1726030670,4236,/phylanx$0/__add$0/1$45$8,104343,window_cond
faf17535-2f66-4621-995f-49c7dbd84e8b,830763831,1155950442,4236,4,142226,window
faf17535-2f66-4621-995f-49c7dbd84e8b,830763831,1155950442,4236,/phylanx$0/__add$0/1$45$8,86670,window_cond
faf17535-2f66-4621-995f-49c7dbd84e8b,965254590,1212155535,4236,3,150527,window
faf17535-2f66-4621-995f-49c7dbd84e8b,965254590,1212155535,4236,/phylanx$0/__add$0/1$45$8,92399,window_cond
faf17535-2f66-4621-995f-49c7dbd84e8b,884961600,1372741515,4236,3,158828,window
faf17535-2f66-4621-995f-49c7dbd84e8b,884961600,1372741515,4236,/phylanx$0/__add$0/1$45$8,105209,window_cond
faf17535-2f66-4621-995f-49c7dbd84e8b,696273072,1467085779,4237,5,162001,window
faf17535-2f66-4621-995f-49c7dbd84e8b,696273072,1467085779,4237,/phylanx$0/__add$0/1$45$8,99964,window_cond
faf17535-2f66-4621-995f-49c7dbd84e8b,884961599,1089708725,4236,4,247672,window
faf17535-2f66-4621-995f-49c7dbd84e8b,884961599,1089708725,4236,/phylanx$0/__add$0/1$45$8,204673,window_cond
Initial serve memory: 13331.6 MB
Post serve memory: 13786.9 MB
Post data serve memory:  MB
