dataset id,begin,end,bins,API Fetch Time(micros),Post Processing Time(micros),query
faf17535-2f66-4621-995f-49c7dbd84e8b,-1305029698,2753780939,4176,6,182408,window
faf17535-2f66-4621-995f-49c7dbd84e8b,-1305029698,2753780939,4236,4,159267,window
faf17535-2f66-4621-995f-49c7dbd84e8b,939159368,1631686406,4236,5,170054,window
faf17535-2f66-4621-995f-49c7dbd84e8b,1115803945,1278397252,4236,4,165361,window
faf17535-2f66-4621-995f-49c7dbd84e8b,979305861,1346646294,4236,4,173952,window
faf17535-2f66-4621-995f-49c7dbd84e8b,1007408408,1290441200,4236,4,171508,window
faf17535-2f66-4621-995f-49c7dbd84e8b,1143906492,1222192158,4237,4,157859,window
faf17535-2f66-4621-995f-49c7dbd84e8b,1115803945,1278397252,4236,5,167119,window
faf17535-2f66-4621-995f-49c7dbd84e8b,790617335,1440990557,4236,4,172928,window
faf17535-2f66-4621-995f-49c7dbd84e8b,913064145,1196096937,4236,4,155798,window
faf17535-2f66-4621-995f-49c7dbd84e8b,1073650126,1157957767,4237,4,154460,window
faf17535-2f66-4621-995f-49c7dbd84e8b,939159368,1426939283,4237,3,175324,window
Initial serve memory: 14947.4 MB
Post serve memory: 15447.7 MB
Post data serve memory:  MB
