DuckDB database created in 47 ms
dataset id,begin,end,bins,API Fetch Time(micros),Post Processing Time(micros),query
faf17535-2f66-4621-995f-49c7dbd84e8b,-1305029698,2753780939,11076,4,112973,window
faf17535-2f66-4621-995f-49c7dbd84e8b,-1305029698,2753780939,11076,/phylanx$0/__add$0/1$45$8,15746,window_cond
faf17535-2f66-4621-995f-49c7dbd84e8b,-1305029698,2753780939,11076,5,34225,window
faf17535-2f66-4621-995f-49c7dbd84e8b,-1305029698,2753780939,11076,/phylanx$0/__add$0/1$45$8,7013,window_cond
faf17535-2f66-4621-995f-49c7dbd84e8b,939920690,1631305745,11077,5,33236,window
faf17535-2f66-4621-995f-49c7dbd84e8b,939920690,1631305745,11077,/phylanx$0/__add$0/1$45$8,7616,window_cond
faf17535-2f66-4621-995f-49c7dbd84e8b,1115936733,1279273659,11076,6,22973,window
faf17535-2f66-4621-995f-49c7dbd84e8b,1115936733,1279273659,11076,/phylanx$0/__add$0/1$45$8,7591,window_cond
faf17535-2f66-4621-995f-49c7dbd84e8b,980195547,1347144252,11076,5,30278,window
faf17535-2f66-4621-995f-49c7dbd84e8b,980195547,1347144252,11076,/phylanx$0/__add$0/1$45$8,7834,window_cond
faf17535-2f66-4621-995f-49c7dbd84e8b,1007791283,1291952780,11077,4,26677,window
faf17535-2f66-4621-995f-49c7dbd84e8b,1007791283,1291952780,11077,/phylanx$0/__add$0/1$45$8,9064,window_cond
faf17535-2f66-4621-995f-49c7dbd84e8b,1143532469,1224082187,11077,4,24242,window
faf17535-2f66-4621-995f-49c7dbd84e8b,1143532469,1224082187,11077,/phylanx$0/__add$0/1$45$8,7253,window_cond
faf17535-2f66-4621-995f-49c7dbd84e8b,1115936733,1279273659,11076,6,30145,window
faf17535-2f66-4621-995f-49c7dbd84e8b,1115936733,1279273659,11076,/phylanx$0/__add$0/1$45$8,7736,window_cond
faf17535-2f66-4621-995f-49c7dbd84e8b,790754551,1441864750,11077,4,38456,window
faf17535-2f66-4621-995f-49c7dbd84e8b,790754551,1441864750,11077,/phylanx$0/__add$0/1$45$8,6891,window_cond
faf17535-2f66-4621-995f-49c7dbd84e8b,913070785,1197232282,11076,4,27538,window
faf17535-2f66-4621-995f-49c7dbd84e8b,913070785,1197232282,11076,/phylanx$0/__add$0/1$45$8,6714,window_cond
faf17535-2f66-4621-995f-49c7dbd84e8b,1074916047,1157703255,11076,3,23149,window
faf17535-2f66-4621-995f-49c7dbd84e8b,1074916047,1157703255,11076,/phylanx$0/__add$0/1$45$8,7058,window_cond
faf17535-2f66-4621-995f-49c7dbd84e8b,939920692,1427693965,11076,5,37829,window
faf17535-2f66-4621-995f-49c7dbd84e8b,939920692,1427693965,11076,/phylanx$0/__add$0/1$45$8,7785,window_cond
faf17535-2f66-4621-995f-49c7dbd84e8b,805671164,1494818729,11076,5,32774,window
faf17535-2f66-4621-995f-49c7dbd84e8b,805671164,1494818729,11076,/phylanx$0/__add$0/1$45$8,22814,window_cond
faf17535-2f66-4621-995f-49c7dbd84e8b,913816614,1278527829,11076,5,32336,window
faf17535-2f66-4621-995f-49c7dbd84e8b,913816614,1278527829,11076,/phylanx$0/__add$0/1$45$8,32380,window_cond
faf17535-2f66-4621-995f-49c7dbd84e8b,1048811974,1373248324,11076,4,38800,window
faf17535-2f66-4621-995f-49c7dbd84e8b,1048811974,1373248324,11076,/phylanx$0/__add$0/1$45$8,8204,window_cond
faf17535-2f66-4621-995f-49c7dbd84e8b,980941381,1508989510,11077,6,39579,window
faf17535-2f66-4621-995f-49c7dbd84e8b,980941381,1508989510,11077,/phylanx$0/__add$0/1$45$8,32349,window_cond
faf17535-2f66-4621-995f-49c7dbd84e8b,548359575,1725280413,11077,5,40773,window
faf17535-2f66-4621-995f-49c7dbd84e8b,548359575,1725280413,11077,/phylanx$0/__add$0/1$45$8,6868,window_cond
faf17535-2f66-4621-995f-49c7dbd84e8b,832521069,1156957425,11077,5,24000,window
faf17535-2f66-4621-995f-49c7dbd84e8b,832521069,1156957425,11077,/phylanx$0/__add$0/1$45$8,7093,window_cond
faf17535-2f66-4621-995f-49c7dbd84e8b,967516427,1211403065,11077,7,27485,window
faf17535-2f66-4621-995f-49c7dbd84e8b,967516427,1211403065,11077,/phylanx$0/__add$0/1$45$8,6842,window_cond
faf17535-2f66-4621-995f-49c7dbd84e8b,886220882,1373994155,11076,5,32288,window
faf17535-2f66-4621-995f-49c7dbd84e8b,886220882,1373994155,11076,/phylanx$0/__add$0/1$45$8,7712,window_cond
faf17535-2f66-4621-995f-49c7dbd84e8b,696779884,1468714654,11077,5,41336,window
faf17535-2f66-4621-995f-49c7dbd84e8b,696779884,1468714654,11077,/phylanx$0/__add$0/1$45$8,6851,window_cond
faf17535-2f66-4621-995f-49c7dbd84e8b,886220880,1089832662,11076,7,18753,window
faf17535-2f66-4621-995f-49c7dbd84e8b,886220880,1089832662,11076,/phylanx$0/__add$0/1$45$8,6661,window_cond
Initial serve memory: 5800.18 MB
Post serve memory: 6194.06 MB
Post data serve memory:  MB
