dataset id,begin,end,bins,API Fetch Time(micros),Post Processing Time(micros),query
faf17535-2f66-4621-995f-49c7dbd84e8b,-1305029698,2753780939,4176,3,98420,window
faf17535-2f66-4621-995f-49c7dbd84e8b,-1305029698,2753780939,4236,6,87374,window
faf17535-2f66-4621-995f-49c7dbd84e8b,939159368,1631686406,4236,4,87691,window
faf17535-2f66-4621-995f-49c7dbd84e8b,1115803945,1278397252,4236,3,52583,window
faf17535-2f66-4621-995f-49c7dbd84e8b,979305861,1346646294,4236,4,77344,window
faf17535-2f66-4621-995f-49c7dbd84e8b,1007408408,1290441200,4236,6,66035,window
faf17535-2f66-4621-995f-49c7dbd84e8b,1143906492,1222192158,4237,3,35489,window
faf17535-2f66-4621-995f-49c7dbd84e8b,1115803945,1278397252,4236,4,53273,window
faf17535-2f66-4621-995f-49c7dbd84e8b,790617335,1440990557,4236,4,87449,window
faf17535-2f66-4621-995f-49c7dbd84e8b,913064145,1196096937,4236,3,44155,window
faf17535-2f66-4621-995f-49c7dbd84e8b,1073650126,1157957767,4237,4,35108,window
faf17535-2f66-4621-995f-49c7dbd84e8b,939159368,1426939283,4237,5,88427,window
Initial serve memory: 14949.9 MB
Post serve memory: 15330.7 MB
Post data serve memory:  MB
