dataset id,begin,end,bins,API Fetch Time(micros),Post Processing Time(micros),query
faf17535-2f66-4621-995f-49c7dbd84e8b,-1305029698,2753780939,4176,3,111593,window
faf17535-2f66-4621-995f-49c7dbd84e8b,991349810,1605591185,4177,4,105962,window
faf17535-2f66-4621-995f-49c7dbd84e8b,1182045660,1224199485,4176,4,56594,window
faf17535-2f66-4621-995f-49c7dbd84e8b,1203162950,4,8083,1316,14632,attribute
faf17535-2f66-4621-995f-49c7dbd84e8b,1182045660,1224199485,4176,3,55110,window
faf17535-2f66-4621-995f-49c7dbd84e8b,1182045660,1224199485,4176,3,55771,window
faf17535-2f66-4621-995f-49c7dbd84e8b,1203193233,4,8083,1711,6908,attribute
faf17535-2f66-4621-995f-49c7dbd84e8b,1182045660,1224199485,4176,3,54823,window
faf17535-2f66-4621-995f-49c7dbd84e8b,1182045660,1224199485,4176,3,55380,window
faf17535-2f66-4621-995f-49c7dbd84e8b,1206160959,7,8690,1739,6630,attribute
faf17535-2f66-4621-995f-49c7dbd84e8b,1182045660,1224199485,4176,4,59709,window
faf17535-2f66-4621-995f-49c7dbd84e8b,1182045660,1224199485,4176,3,57855,window
faf17535-2f66-4621-995f-49c7dbd84e8b,1207553973,3,4355,1476,15639,attribute
faf17535-2f66-4621-995f-49c7dbd84e8b,1182045660,1224199485,4176,3,54519,window
faf17535-2f66-4621-995f-49c7dbd84e8b,1182045660,1224199485,4176,3,54206,window
faf17535-2f66-4621-995f-49c7dbd84e8b,1206110487,7,8686,1735,4279,attribute
faf17535-2f66-4621-995f-49c7dbd84e8b,1182045660,1224199485,4176,3,54414,window
Initial serve memory: 13334.4 MB
Post serve memory: 13728.9 MB
Post data serve memory:  MB
