tree build time (micros),ds type,ds query type,ds query begin,ds query end,hrd,ds query time (micros),dataset id,begin,end,bins,API Fetch Time(micros),Post Processing Time(micros),query
99153,ESEMAN,ds_window,-1305029698,2753780939,1,1681,faf17535-2f66-4621-995f-49c7dbd84e8b,-1305029698,2753780939,4176,4,40285,window
99153,ESEMAN,ds_window,-1305029698,2753780939,1,633,faf17535-2f66-4621-995f-49c7dbd84e8b,-1305029698,2753780939,4176,/phylanx$0/__add$0/1$45$8,36861,window_cond
99153,ESEMAN,ds_window,-1305029698,2753780939,1,1619,faf17535-2f66-4621-995f-49c7dbd84e8b,-1305029698,2753780939,4236,5,38366,window
99153,ESEMAN,ds_window,-1305029698,2753780939,1,625,faf17535-2f66-4621-995f-49c7dbd84e8b,-1305029698,2753780939,4236,/phylanx$0/__add$0/1$45$8,36725,window_cond
99153,ESEMAN,ds_window,939159368,1631686406,1,9575,faf17535-2f66-4621-995f-49c7dbd84e8b,939159368,1631686406,4236,6,47370,window
99153,ESEMAN,ds_window,939159368,1631686406,1,500,faf17535-2f66-4621-995f-49c7dbd84e8b,939159368,1631686406,4236,/phylanx$0/__add$0/1$45$8,38588,window_cond
99153,ESEMAN,ds_window,1115803945,1278397252,1,15229,faf17535-2f66-4621-995f-49c7dbd84e8b,1115803945,1278397252,4236,4,52688,window
99153,ESEMAN,ds_window,1115803945,1278397252,1,313,faf17535-2f66-4621-995f-49c7dbd84e8b,1115803945,1278397252,4236,/phylanx$0/__add$0/1$45$8,36135,window_cond
99153,ESEMAN,ds_window,979305861,1346646294,1,5948,faf17535-2f66-4621-995f-49c7dbd84e8b,979305861,1346646294,4236,4,43383,window
99153,ESEMAN,ds_window,979305861,1346646294,1,430,faf17535-2f66-4621-995f-49c7dbd84e8b,979305861,1346646294,4236,/phylanx$0/__add$0/1$45$8,36299,window_cond
99153,ESEMAN,ds_window,1007408408,1290441200,1,2739,faf17535-2f66-4621-995f-49c7dbd84e8b,1007408408,1290441200,4236,4,40121,window
99153,ESEMAN,ds_window,1007408408,1290441200,1,366,faf17535-2f66-4621-995f-49c7dbd84e8b,1007408408,1290441200,4236,/phylanx$0/__add$0/1$45$8,37064,window_cond
99153,ESEMAN,ds_window,1143906492,1222192158,1,4716,faf17535-2f66-4621-995f-49c7dbd84e8b,1143906492,1222192158,4237,4,41971,window
99153,ESEMAN,ds_window,1143906492,1222192158,1,212,faf17535-2f66-4621-995f-49c7dbd84e8b,1143906492,1222192158,4237,/phylanx$0/__add$0/1$45$8,36342,window_cond
99153,ESEMAN,ds_window,1115803945,1278397252,1,1660,faf17535-2f66-4621-995f-49c7dbd84e8b,1115803945,1278397252,4236,5,39080,window
99153,ESEMAN,ds_window,1115803945,1278397252,1,324,faf17535-2f66-4621-995f-49c7dbd84e8b,1115803945,1278397252,4236,/phylanx$0/__add$0/1$45$8,36784,window_cond
99153,ESEMAN,ds_window,790617335,1440990557,1,2390,faf17535-2f66-4621-995f-49c7dbd84e8b,790617335,1440990557,4236,4,39527,window
99153,ESEMAN,ds_window,790617335,1440990557,1,456,faf17535-2f66-4621-995f-49c7dbd84e8b,790617335,1440990557,4236,/phylanx$0/__add$0/1$45$8,36912,window_cond
99153,ESEMAN,ds_window,913064145,1196096937,1,1148,faf17535-2f66-4621-995f-49c7dbd84e8b,913064145,1196096937,4236,4,37929,window
99153,ESEMAN,ds_window,913064145,1196096937,1,258,faf17535-2f66-4621-995f-49c7dbd84e8b,913064145,1196096937,4236,/phylanx$0/__add$0/1$45$8,36454,window_cond
