tree build time (micros),ds type,ds query type,ds query begin,ds query end,hrd,ds query time (micros),dataset id,begin,end,bins,API Fetch Time(micros),Post Processing Time(micros),query
6967,ESEMAN_TWOD,ds_window,-1305029698,2753780939,1,173024,faf17535-2f66-4621-995f-49c7dbd84e8b,-1305029698,2753780939,11076,3,289618,window
6967,ESEMAN_TWOD,ds_window,-1305029698,2753780939,1,3235,faf17535-2f66-4621-995f-49c7dbd84e8b,-1305029698,2753780939,11076,4,51452,window
6967,ESEMAN_TWOD,ds_window,939920690,1631305745,1,29888,faf17535-2f66-4621-995f-49c7dbd84e8b,939920690,1631305745,11077,3,73894,window
6967,ESEMAN_TWOD,ds_window,1115936733,1279273659,1,14408,faf17535-2f66-4621-995f-49c7dbd84e8b,1115936733,1279273659,11076,6,64013,window
6967,ESEMAN_TWOD,ds_window,980195547,1347144252,1,10477,faf17535-2f66-4621-995f-49c7dbd84e8b,980195547,1347144252,11076,4,58872,window
6967,ESEMAN_TWOD,ds_window,1007791283,1291952780,1,10265,faf17535-2f66-4621-995f-49c7dbd84e8b,1007791283,1291952780,11077,5,61740,window
6967,ESEMAN_TWOD,ds_window,1143532469,1224082187,1,1676,faf17535-2f66-4621-995f-49c7dbd84e8b,1143532469,1224082187,11077,5,56734,window
6967,ESEMAN_TWOD,ds_window,1115936733,1279273659,1,6308,faf17535-2f66-4621-995f-49c7dbd84e8b,1115936733,1279273659,11076,5,58089,window
6967,ESEMAN_TWOD,ds_window,790754551,1441864750,1,9988,faf17535-2f66-4621-995f-49c7dbd84e8b,790754551,1441864750,11077,3,63395,window
6967,ESEMAN_TWOD,ds_window,913070785,1197232282,1,2262,faf17535-2f66-4621-995f-49c7dbd84e8b,913070785,1197232282,11076,3,59674,window
6967,ESEMAN_TWOD,ds_window,1074916047,1157703255,1,2286,faf17535-2f66-4621-995f-49c7dbd84e8b,1074916047,1157703255,11076,5,62255,window
6967,ESEMAN_TWOD,ds_window,939920692,1427693965,1,10626,faf17535-2f66-4621-995f-49c7dbd84e8b,939920692,1427693965,11076,5,63068,window
6967,ESEMAN_TWOD,ds_window,805671164,1494818729,1,10817,faf17535-2f66-4621-995f-49c7dbd84e8b,805671164,1494818729,11076,5,65106,window
6967,ESEMAN_TWOD,ds_window,913816614,1278527829,1,3720,faf17535-2f66-4621-995f-49c7dbd84e8b,913816614,1278527829,11076,4,63232,window
6967,ESEMAN_TWOD,ds_window,1048811974,1373248324,1,11572,faf17535-2f66-4621-995f-49c7dbd84e8b,1048811974,1373248324,11076,3,65928,window
6967,ESEMAN_TWOD,ds_window,980941381,1508989510,1,7586,faf17535-2f66-4621-995f-49c7dbd84e8b,980941381,1508989510,11077,4,56153,window
6967,ESEMAN_TWOD,ds_window,548359575,1725280413,1,9008,faf17535-2f66-4621-995f-49c7dbd84e8b,548359575,1725280413,11077,5,61915,window
6967,ESEMAN_TWOD,ds_window,832521069,1156957425,1,1584,faf17535-2f66-4621-995f-49c7dbd84e8b,832521069,1156957425,11077,4,55753,window
6967,ESEMAN_TWOD,ds_window,967516427,1211403065,1,2591,faf17535-2f66-4621-995f-49c7dbd84e8b,967516427,1211403065,11077,5,60261,window
6967,ESEMAN_TWOD,ds_window,886220882,1373994155,1,7440,faf17535-2f66-4621-995f-49c7dbd84e8b,886220882,1373994155,11076,4,57009,window
6967,ESEMAN_TWOD,ds_window,696779884,1468714654,1,7120,faf17535-2f66-4621-995f-49c7dbd84e8b,696779884,1468714654,11077,5,56622,window
6967,ESEMAN_TWOD,ds_window,886220880,1089832662,1,563,faf17535-2f66-4621-995f-49c7dbd84e8b,886220880,1089832662,11076,5,56935,window
Initial serve memory: 639.609 MB
Post serve memory: 1001.48 MB
Post data serve memory: 1972.2 MB
