tree build time (micros),ds type,ds query type,ds query begin,ds query end,hrd,ds query time (micros),dataset id,begin,end,bins,API Fetch Time(micros),Post Processing Time(micros),query
45255,ESEMAN,ds_window,-1305029698,2753780939,1,1828,faf17535-2f66-4621-995f-49c7dbd84e8b,-1305029698,2753780939,11076,3,182628,window
45255,ESEMAN,ds_window,-1305029698,2753780939,1,1797,faf17535-2f66-4621-995f-49c7dbd84e8b,-1305029698,2753780939,11076,5,51692,window
45255,ESEMAN,ds_window,939920690,1631305745,1,26327,faf17535-2f66-4621-995f-49c7dbd84e8b,939920690,1631305745,11077,4,70550,window
45255,ESEMAN,ds_window,1115936733,1279273659,1,18432,faf17535-2f66-4621-995f-49c7dbd84e8b,1115936733,1279273659,11076,4,67249,window
45255,ESEMAN,ds_window,980195547,1347144252,1,11103,faf17535-2f66-4621-995f-49c7dbd84e8b,980195547,1347144252,11076,3,60616,window
45255,ESEMAN,ds_window,1007791283,1291952780,1,2774,faf17535-2f66-4621-995f-49c7dbd84e8b,1007791283,1291952780,11077,3,59810,window
45255,ESEMAN,ds_window,1143532469,1224082187,1,1084,faf17535-2f66-4621-995f-49c7dbd84e8b,1143532469,1224082187,11077,6,58912,window
45255,ESEMAN,ds_window,1115936733,1279273659,1,1701,faf17535-2f66-4621-995f-49c7dbd84e8b,1115936733,1279273659,11076,5,58018,window
45255,ESEMAN,ds_window,790754551,1441864750,1,2653,faf17535-2f66-4621-995f-49c7dbd84e8b,790754551,1441864750,11077,4,62767,window
45255,ESEMAN,ds_window,913070785,1197232282,1,1326,faf17535-2f66-4621-995f-49c7dbd84e8b,913070785,1197232282,11076,6,62129,window
45255,ESEMAN,ds_window,1074916047,1157703255,1,1624,faf17535-2f66-4621-995f-49c7dbd84e8b,1074916047,1157703255,11076,5,62276,window
45255,ESEMAN,ds_window,939920692,1427693965,1,9542,faf17535-2f66-4621-995f-49c7dbd84e8b,939920692,1427693965,11076,5,64610,window
45255,ESEMAN,ds_window,805671164,1494818729,1,2741,faf17535-2f66-4621-995f-49c7dbd84e8b,805671164,1494818729,11076,7,61661,window
45255,ESEMAN,ds_window,913816614,1278527829,1,1931,faf17535-2f66-4621-995f-49c7dbd84e8b,913816614,1278527829,11076,4,61747,window
45255,ESEMAN,ds_window,1048811974,1373248324,1,13529,faf17535-2f66-4621-995f-49c7dbd84e8b,1048811974,1373248324,11076,4,67475,window
45255,ESEMAN,ds_window,980941381,1508989510,1,3098,faf17535-2f66-4621-995f-49c7dbd84e8b,980941381,1508989510,11077,6,64674,window
45255,ESEMAN,ds_window,548359575,1725280413,1,2286,faf17535-2f66-4621-995f-49c7dbd84e8b,548359575,1725280413,11077,6,61489,window
45255,ESEMAN,ds_window,832521069,1156957425,1,896,faf17535-2f66-4621-995f-49c7dbd84e8b,832521069,1156957425,11077,5,55048,window
45255,ESEMAN,ds_window,967516427,1211403065,1,1538,faf17535-2f66-4621-995f-49c7dbd84e8b,967516427,1211403065,11077,6,63475,window
45255,ESEMAN,ds_window,886220882,1373994155,1,2499,faf17535-2f66-4621-995f-49c7dbd84e8b,886220882,1373994155,11076,5,62573,window
45255,ESEMAN,ds_window,696779884,1468714654,1,2362,faf17535-2f66-4621-995f-49c7dbd84e8b,696779884,1468714654,11077,5,57710,window
45255,ESEMAN,ds_window,886220880,1089832662,1,401,faf17535-2f66-4621-995f-49c7dbd84e8b,886220880,1089832662,11076,5,61199,window
Initial serve memory: 639.609 MB
Post serve memory: 1001.48 MB
Post data serve memory: 1969.2 MB
