dataset id,begin,end,bins,API Fetch Time(micros),Post Processing Time(micros),query
faf17535-2f66-4621-995f-49c7dbd84e8b,-1305029698,2753780939,4176,6995,148412,window
faf17535-2f66-4621-995f-49c7dbd84e8b,-1305029698,2753780939,4236,873,126693,window
faf17535-2f66-4621-995f-49c7dbd84e8b,939159368,1631686406,4236,1443,122459,window
faf17535-2f66-4621-995f-49c7dbd84e8b,1115803945,1278397252,4236,1743,129841,window
faf17535-2f66-4621-995f-49c7dbd84e8b,979305861,1346646294,4236,1777,122943,window
faf17535-2f66-4621-995f-49c7dbd84e8b,1007408408,1290441200,4236,1784,122226,window
faf17535-2f66-4621-995f-49c7dbd84e8b,1143906492,1222192158,4237,1669,129701,window
faf17535-2f66-4621-995f-49c7dbd84e8b,1115803945,1278397252,4236,1749,129842,window
faf17535-2f66-4621-995f-49c7dbd84e8b,790617335,1440990557,4236,1727,125902,window
faf17535-2f66-4621-995f-49c7dbd84e8b,913064145,1196096937,4236,1739,122236,window
faf17535-2f66-4621-995f-49c7dbd84e8b,1073650126,1157957767,4237,1787,122544,window
faf17535-2f66-4621-995f-49c7dbd84e8b,939159368,1426939283,4237,1716,122244,window
faf17535-2f66-4621-995f-49c7dbd84e8b,806675934,1493181000,4236,1639,122795,window
faf17535-2f66-4621-995f-49c7dbd84e8b,915071471,1276389926,4237,1805,122526,window
faf17535-2f66-4621-995f-49c7dbd84e8b,1047554904,1372741515,4236,1747,123899,window
faf17535-2f66-4621-995f-49c7dbd84e8b,979305863,1509239597,4236,1510,123190,window
faf17535-2f66-4621-995f-49c7dbd84e8b,545723717,1726030670,4236,1462,121452,window
faf17535-2f66-4621-995f-49c7dbd84e8b,830763831,1155950442,4236,1709,120995,window
faf17535-2f66-4621-995f-49c7dbd84e8b,965254590,1212155535,4236,1769,122382,window
faf17535-2f66-4621-995f-49c7dbd84e8b,884961600,1372741515,4236,1797,124754,window
faf17535-2f66-4621-995f-49c7dbd84e8b,696273072,1467085779,4237,1702,123482,window
faf17535-2f66-4621-995f-49c7dbd84e8b,884961599,1089708725,4236,1657,121988,window
Initial serve memory: 3058.16 MB
Post serve memory: 3388.45 MB
Post data serve memory:  MB
