tree build time (micros),ds type,ds query type,ds query begin,ds query end,hrd,ds query time (micros),dataset id,begin,end,bins,API Fetch Time(micros),Post Processing Time(micros),query
9140478,ESEMAN,ds_window,-5507561878,11158845299,1,51468504,908fc737-2cc7-41d8-8281-7dd9e83155ff,-5507561878,11158845299,4176,3,52233162,window
9140478,ESEMAN,ds_window,-5507561878,11158845299,1,60764051,908fc737-2cc7-41d8-8281-7dd9e83155ff,-5507561878,11158845299,4176,6,62893403,window
9140478,ESEMAN,ds_window,3707593028,6551267846,1,19058707,908fc737-2cc7-41d8-8281-7dd9e83155ff,3707593028,6551267846,4176,8,21165122,window
9140478,ESEMAN,ds_window,4432936169,5100581564,1,18672,908fc737-2cc7-41d8-8281-7dd9e83155ff,4432936169,5100581564,4176,8,2100961,window
9140478,ESEMAN,ds_window,3872443743,5380827777,1,3327316,908fc737-2cc7-41d8-8281-7dd9e83155ff,3872443743,5380827777,4176,7,5431235,window
9140478,ESEMAN,ds_window,3987839242,5150036779,1,746638,908fc737-2cc7-41d8-8281-7dd9e83155ff,3987839242,5150036779,4176,6,2846284,window
9140478,ESEMAN,ds_window,4548331668,4869790566,1,16853,908fc737-2cc7-41d8-8281-7dd9e83155ff,4548331668,4869790566,4176,6,2074215,window
9140478,ESEMAN,ds_window,4432936169,5100581564,1,11394,908fc737-2cc7-41d8-8281-7dd9e83155ff,4432936169,5100581564,4176,6,2059745,window
9140478,ESEMAN,ds_window,3097645387,5768226955,1,219802,908fc737-2cc7-41d8-8281-7dd9e83155ff,3097645387,5768226955,4177,6,2297321,window
9140478,ESEMAN,ds_window,3600440064,4762637601,1,474171,908fc737-2cc7-41d8-8281-7dd9e83155ff,3600440064,4762637601,4176,6,2527609,window
9140478,ESEMAN,ds_window,4259842922,4606029422,1,10530,908fc737-2cc7-41d8-8281-7dd9e83155ff,4259842922,4606029422,4177,6,2048408,window
9140478,ESEMAN,ds_window,3707593031,5710529204,1,650129,908fc737-2cc7-41d8-8281-7dd9e83155ff,3707593031,5710529204,4176,6,3028772,window
Initial serve memory: 7327.67 MB
Post serve memory: 7666.76 MB
Post data serve memory: 50016.9 MB
