tree build time (micros),ds type,ds query type,ds query begin,ds query end,ds query time (micros)
461359,AGC,ds_window,-1305029698,2753780939,688
461359,AGC,ds_window,-1305029698,2753780939,568
461359,AGC,ds_window,-1305029698,2753780939,1205
461359,AGC,ds_window,-1305029698,2753780939,527
461359,AGC,ds_window,-1305029698,2753780939,858
461359,AGC,ds_window,-1305029698,2753780939,790
461359,AGC,ds_window,-1305029698,2753780939,637
461359,AGC,ds_window,-1305029698,2753780939,526
461359,AGC,ds_window,-1305029698,2753780939,704
461359,AGC,ds_window,-1305029698,2753780939,531
